ablation,country,n_scenarios,jsd,pearson_r,spearman_rho,mae,rmse,mis,cosine_sim,n_criteria,flip_rate,mean_reliability_r,std_reliability_r,mean_bootstrap_var,std_bootstrap_var,mean_ess_pass1,mean_ess_pass2,mean_ess_anchor_alpha,mean_positional_bias,std_positional_bias,mean_delta_consensus,mean_delta_opt,mean_delta_opt_micro,std_delta_opt_micro,final_delta_country,final_alpha_h,prior_steps,util_slope_hat,util_slope_se,util_n_obs,elapsed_sec,model_Species_Humans,human_Species_Humans,model_Gender_Female,human_Gender_Female,model_Age_Young,human_Age_Young,model_Fitness_Fit,human_Fitness_Fit,model_SocialValue_High,human_SocialValue_High,model_Utilitarianism_More,human_Utilitarianism_More,abserr_Age_Young,signerr_Age_Young,abserr_Fitness_Fit,signerr_Fitness_Fit,abserr_Gender_Female,signerr_Gender_Female,abserr_SocialValue_High,signerr_SocialValue_High,abserr_Species_Humans,signerr_Species_Humans,abserr_Utilitarianism_More,signerr_Utilitarianism_More,seed
Always-on PT-IS + No debiasing,USA,310,0.05052436697108391,0.5631014047115397,0.6571428571428573,18.315812513255995,20.077108971877188,0.49178672491353287,0.5631014047115397,6,0.0,1.0,0.0,0.0006945885060759456,0.0010623746834275336,0.7286660084801335,0.720456221026759,0.7059324597158739,0.0,0.0,1.865771766439561,,1.5457990444475604,0.5207657863915486,1.4813400778502688,0.9279215377612339,313,-0.0016223363985808992,0.11007841039661337,20,0.4877133369445801,53.027447886912505,79.20219438265315,50.03576366469934,56.0298882980414,50.02375683048433,74.5377281560045,49.919011014412746,58.8095535738558,49.972432079259576,67.9307274803549,50.189226835592606,76.5524214999873,24.513971325520174,-24.513971325520174,8.890542559443055,-8.890542559443055,5.994124633342061,-5.994124633342061,17.958295401095327,-17.958295401095327,26.174746495740642,-26.174746495740642,26.363194664394697,-26.363194664394697,42
Always-on PT-IS + Without persona,USA,310,0.05521952724170205,-0.4514908944955414,-0.2,18.845029097773462,20.806907240239276,0.5096630586400714,-0.45149089449554136,6,0.2870967741935484,1.0,0.0,0.00017198405705214358,0.00025653703608655555,0.31577374002625863,0.32192929137137627,0.2961278889448412,0.743334791544945,0.24477104096182847,0.0012039766676964299,,0.001199897271468334,0.011450797461849127,0.0004620917119781692,0.9279215377612339,313,0.00018139788404987662,0.0006456673541570428,20,0.5042459964752197,49.98998883215332,79.20219438265315,49.979648233127094,56.0298882980414,49.98974617012641,74.5377281560045,50.05056746930736,58.8095535738558,50.0463439943766,67.9307274803549,49.936044105165514,76.5524214999873,24.547981985878096,-24.547981985878096,8.758986104548441,-8.758986104548441,6.0502400649143055,-6.0502400649143055,17.884383485978304,-17.884383485978304,29.212205550499824,-29.212205550499824,26.61637739482179,-26.61637739482179,42
Always-on PT-IS + No country prior (a_h=0),USA,310,0.05509549377643499,-0.05655824220429338,0.08571428571428573,18.789358944718526,20.750387747251132,0.5082786194566538,-0.056558242204293355,6,0.45161290322580644,1.0,0.0,0.0002095681001777458,0.000292295667387624,0.3161760316741082,0.31380199568886913,0.2919992833848922,0.743334791544945,0.24477104096182847,-6.46352767944336e-05,,0.0008628571920956846,0.00930863377928498,0.0,0.0,0,0.002050644159317027,0.0010777931005139052,20,0.5062508583068848,49.9449297785759,79.20219438265315,50.01683426754815,56.0298882980414,50.08439123630524,74.5377281560045,50.081817458073296,58.8095535738558,50.067251846194274,67.9307274803549,50.131135135889046,76.5524214999873,24.453336919699268,-24.453336919699268,8.727736115782506,-8.727736115782506,6.013054030493251,-6.013054030493251,17.86347563416063,-17.86347563416063,29.25726460407725,-29.25726460407725,26.421286364098258,-26.421286364098258,42
No debiasing + Without persona,USA,310,0.051738625040745854,0.526418797922218,0.48571428571428577,18.478343251336184,20.290252607791192,0.4970076564126415,0.5264187979222178,6,0.0,0.9953857374015919,0.006613527417003518,0.00018589071516842952,0.00026871647861779606,0.3193463413465408,0.3149579674486191,0.29338867856610207,0.0,0.0,0.7445387690298019,,0.744635820581067,0.24511223688830708,0.7139716988317463,0.9279215377612339,313,-0.0037845916032334323,0.0784623557399292,20,0.48210906982421875,52.24512706085698,79.20219438265315,50.13708433012489,56.0298882980414,49.728136832846644,74.5377281560045,49.79438227935905,58.8095535738558,50.03721085939684,67.9307274803549,50.25051252029555,76.5524214999873,24.80959132315786,-24.80959132315786,9.015171294496753,-9.015171294496753,5.892803967916507,-5.892803967916507,17.89351662095806,-17.89351662095806,26.957067321796167,-26.957067321796167,26.301908979691753,-26.301908979691753,42
No debiasing + No country prior (a_h=0),USA,310,0.05508128834072732,-0.04937238419221093,-0.08571428571428573,18.879751506022714,20.831470448110178,0.5102647318973677,-0.04937238419221093,6,0.0,0.9835471378124343,0.02234009282170727,0.0006743669533836424,0.0009413171174405059,0.7226269689298446,0.7230866536017387,0.7044203400611877,0.0,0.0,1.865771766439561,,1.5452478754904961,0.5197968436144511,0.0,0.0,0,-0.00011362433433530523,0.11233870414925924,20,0.49095702171325684,49.919610023498535,79.20219438265315,49.93069997855596,56.0298882980414,49.949721693992615,74.5377281560045,49.99016662438711,58.8095535738558,49.988883882761,67.9307274803549,50.00492215156556,76.5524214999873,24.58800646201189,-24.58800646201189,8.819386949468694,-8.819386949468694,6.099188319485442,-6.099188319485442,17.941843597593902,-17.941843597593902,29.28258435915461,-29.28258435915461,26.547499348421745,-26.547499348421745,42
Without persona + No country prior (a_h=0),USA,310,0.055281802360614876,-0.3963949353079574,-0.5428571428571429,18.863449144884434,20.826834398497244,0.5101511723376285,-0.3963949353079573,6,0.24516129032258063,0.9953561849363015,0.00614492773169622,0.00018695188644077032,0.0002486102255476792,0.3183606547694052,0.31993478661583313,0.29446733930418567,0.743334791544945,0.24477104096182847,0.0012039766676964299,,0.0018868170903935547,0.011147857118650349,0.0,0.0,0,0.0019620746374130645,0.0011974980130135579,20,0.5045337677001953,49.93075609207153,79.20219438265315,49.945227035454344,56.0298882980414,50.03473103046417,74.5377281560045,50.05966971317927,58.8095535738558,50.02812191843986,67.9307274803549,49.88331273198128,76.5524214999873,24.502997125540332,-24.502997125540332,8.749883860676533,-8.749883860676533,6.084661262587055,-6.084661262587055,17.902605561915045,-17.902605561915045,29.271438290581614,-29.271438290581614,26.669108768006026,-26.669108768006026,42
No-IS (consensus only) + Always-on PT-IS + No debiasing,USA,310,0.051340456277984246,0.5606802114673818,0.8285714285714287,18.434850045768098,20.230773349508276,0.495550718081918,0.5606802114673817,6,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.865771766439561,,1.865771766439561,0.5962774908838305,1.7993235596874255,0.9279215377612339,313,-0.0009528488434328214,0.1137825379907383,20,0.29855799674987793,52.40792687911997,79.20219438265315,49.999281351235396,56.0298882980414,50.03114151485034,74.5377281560045,49.93984210296695,58.8095535738558,49.976914121160156,67.9307274803549,50.09830714695567,76.5524214999873,24.506586641154165,-24.506586641154165,8.869711470888852,-8.869711470888852,6.030606946806003,-6.030606946806003,17.953813359194747,-17.953813359194747,26.794267503533177,-26.794267503533177,26.454114353031635,-26.454114353031635,42
No-IS (consensus only) + Always-on PT-IS + Without persona,USA,310,0.055153306495556775,-0.5094134845077801,-0.5428571428571429,18.84150850454663,20.800297523921536,0.5095011543168413,-0.5094134845077799,6,0.2,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.743334791544945,0.24477104096182847,0.0012039766676964299,,0.0012039766676964299,0.008449011357060483,0.0029395907718557292,0.9279215377612339,313,0.0005555056267296285,0.0006204096014767126,20,0.31172752380371094,50.003719686922246,79.20219438265315,50.003791035296274,56.0298882980414,49.97718330752213,74.5377281560045,50.01915705269281,58.8095535738558,50.03044786354318,67.9307274803549,49.979163417640635,76.5524214999873,24.560544848482373,-24.560544848482373,8.79039652116299,-8.79039652116299,6.026097262745125,-6.026097262745125,17.900279616811723,-17.900279616811723,29.1984746957309,-29.1984746957309,26.57325808234667,-26.57325808234667,42
No-IS (consensus only) + Always-on PT-IS + No country prior (a_h=0),USA,310,0.05514693699588966,-0.2670541377683055,0.2,18.83081896970973,20.790313906681398,0.5092566066365853,-0.26705413776830556,6,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.743334791544945,0.24477104096182847,-6.46352767944336e-05,,-6.46352767944336e-05,0.003355917704794055,0.0,0.0,0,-0.0003173694014548965,0.00046607937823166316,20,0.318925142288208,50.027770847082145,79.20219438265315,50.01544564962387,56.0298882980414,50.02658372124036,74.5377281560045,50.021429558595024,58.8095535738558,50.04659045487643,67.9307274803549,49.939779341220856,76.5524214999873,24.511144434764148,-24.511144434764148,8.788124015260777,-8.788124015260777,6.014442648417528,-6.014442648417528,17.884137025478474,-17.884137025478474,29.174423535571,-29.174423535571,26.612642158766448,-26.612642158766448,42
No-IS (consensus only) + No debiasing + Without persona,USA,310,0.05176816056810054,0.5228680313147476,0.48571428571428577,18.47297203857182,20.28674867595474,0.4969218279617135,0.5228680313147475,6,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.7445387690298019,,0.7445387690298019,0.2454577660723691,0.710712945398037,0.9279215377612339,313,-0.003733092035449598,0.07843580261131618,20,0.30510425567626953,52.249814015403096,79.20219438265315,50.144968918586244,56.0298882980414,49.72742318988585,74.5377281560045,49.81132488471992,58.8095535738558,50.033788386614056,67.9307274803549,50.25736176425698,76.5524214999873,24.810304966118657,-24.810304966118657,8.998228689135878,-8.998228689135878,5.884919379455155,-5.884919379455155,17.896939093740848,-17.896939093740848,26.95238036725005,-26.95238036725005,26.295059735730327,-26.295059735730327,42
No-IS (consensus only) + No debiasing + No country prior (a_h=0),USA,310,0.055100085951935725,-0.6266823739013712,-0.2571428571428572,18.83938902103306,20.795648088437233,0.5093872668715559,-0.626682373901371,6,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.865771766439561,,1.865771766439561,0.5962774908838305,0.0,0.0,0,-1.9156932830757772e-05,0.11521542984093484,20,0.30561017990112305,50.002552270889275,79.20219438265315,50.01654097012111,56.0298882980414,50.002106030782066,74.5377281560045,50.002161959807076,58.8095535738558,50.00087581574917,67.9307274803549,50.001942217350006,76.5524214999873,24.53562212522244,-24.53562212522244,8.807391614048726,-8.807391614048726,6.013347327920286,-6.013347327920286,17.929851664605735,-17.929851664605735,29.199642111763872,-29.199642111763872,26.550479282637298,-26.550479282637298,42
No-IS (consensus only) + Without persona + No country prior (a_h=0),USA,310,0.055382320456215973,-0.717787018773317,-0.7714285714285715,18.846228816632912,20.81612094469964,0.5098887473857584,-0.7177870187733167,6,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.743334791544945,0.24477104096182847,0.0012039766676964299,,0.0012039766676964299,0.008449011357060483,0.0,0.0,0,0.0014647632837296062,0.0009758803584747233,20,0.32480931282043457,49.960938692092896,79.20219438265315,50.00358653920037,56.0298882980414,49.99782388408979,74.5377281560045,50.081371565659836,58.8095535738558,50.026046484708786,67.9307274803549,49.9153733253479,76.5524214999873,24.539904271914715,-24.539904271914715,8.728182008195965,-8.728182008195965,6.026301758841029,-6.026301758841029,17.904680995646117,-17.904680995646117,29.24125569056025,-29.24125569056025,26.637048174639403,-26.637048174639403,42
Always-on PT-IS + No debiasing + Without persona,USA,310,0.05179187820202024,0.5213135856137863,0.48571428571428577,18.483266831580963,20.29744770619412,0.4971838996100044,0.5213135856137863,6,0.0,1.0,0.0,0.0001974384999070573,0.0002783638649565136,0.3196305733053915,0.3203765465367225,0.2941653138687534,0.0,0.0,0.7445387690298019,,0.7441944304012483,0.2457974751940896,0.7093695622589141,0.9279215377612339,313,-0.004189488237267929,0.07839540168535264,20,0.47643303871154785,52.2359014916008,79.20219438265315,50.12631816643324,56.0298882980414,49.730887782572545,74.5377281560045,49.80944755814862,58.8095535738558,50.04285644345998,67.9307274803549,50.217500959196094,76.5524214999873,24.80684037343196,-24.80684037343196,9.000106015707182,-9.000106015707182,5.903570131608163,-5.903570131608163,17.88787103689492,-17.88787103689492,26.966292891052348,-26.966292891052348,26.33492054079121,-26.33492054079121,42
Always-on PT-IS + No debiasing + No country prior (a_h=0),USA,310,0.055103432841707725,-0.04752447737207892,-0.028571428571428574,18.806737240652918,20.76587584017628,0.508657998704208,-0.0475244773720789,6,0.0,1.0,0.0,0.000625394485265782,0.0008734865070824728,0.728043601205272,0.7278072993601522,0.7085723021338063,0.0,0.0,1.865771766439561,,1.5493367723880276,0.5218902888102579,0.0,0.0,0,-0.00014924407005304267,0.11238189177162242,20,0.48676180839538574,50.13385772705078,79.20219438265315,50.094474639211384,56.0298882980414,49.962841173013054,74.5377281560045,50.011620819568634,58.8095535738558,50.01658059656619,67.9307274803549,50.00271499156952,76.5524214999873,24.57488698299145,-24.57488698299145,8.797932754287167,-8.797932754287167,5.935413658830015,-5.935413658830015,17.91414688378871,-17.91414688378871,29.068336655602366,-29.068336655602366,26.549706508417785,-26.549706508417785,42
Always-on PT-IS + Without persona + No country prior (a_h=0),USA,310,0.055157375810361974,-0.4085385767982018,-0.3714285714285715,18.80684693685194,20.76921352711539,0.5087397550034277,-0.4085385767982017,6,0.23870967741935484,1.0,0.0,0.00020826864428984332,0.0002893633319233794,0.3194628040156057,0.31433287200427823,0.29352642201608226,0.743334791544945,0.24477104096182847,0.0012039766676964299,,0.0019103419460025767,0.010787587205118326,0.0,0.0,0,0.002792192995548303,0.001267316110798276,20,0.49979305267333984,50.00191569328308,79.20219438265315,50.016988856451846,56.0298882980414,50.022710263729095,74.5377281560045,50.07403875390689,58.8095535738558,50.065195336937904,67.9307274803549,50.040582865476615,76.5524214999873,24.51501789227541,-24.51501789227541,8.73551481994891,-8.73551481994891,6.012899441589553,-6.012899441589553,17.865532143417,-17.865532143417,29.200278689370066,-29.200278689370066,26.51183863451069,-26.51183863451069,42
No debiasing + Without persona + No country prior (a_h=0),USA,310,0.05637785754666045,-0.4828781334903483,-0.5428571428571429,18.96129741763379,20.969677025228474,0.5136500878277321,-0.4828781334903481,6,0.0,0.9945580370597464,0.008127186691552926,0.00021962783322620918,0.00033122148508378676,0.31986461185639903,0.31022253651772774,0.29033339610022885,0.0,0.0,0.7445387690298019,,0.7448447013093579,0.2455882122280554,0.0,0.0,0,-0.00169957876205443,0.08320089502056678,20,0.48374414443969727,49.95418310165405,79.20219438265315,49.962454438209534,56.0298882980414,49.36923146247864,74.5377281560045,50.09941885868708,58.8095535738558,50.30095502734184,67.9307274803549,49.608485996723175,76.5524214999873,25.168496693525867,-25.168496693525867,8.71013471516872,-8.71013471516872,6.067433859831866,-6.067433859831866,17.62977245301306,-17.62977245301306,29.248011280999094,-29.248011280999094,26.94393550326413,-26.94393550326413,42
No-IS (consensus only) + Always-on PT-IS + No debiasing + Without persona,USA,310,0.05176816056810054,0.5228680313147476,0.48571428571428577,18.47297203857182,20.28674867595474,0.4969218279617135,0.5228680313147475,6,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.7445387690298019,,0.7445387690298019,0.2454577660723691,0.710712945398037,0.9279215377612339,313,-0.003733092035449598,0.07843580261131618,20,0.2884364128112793,52.249814015403096,79.20219438265315,50.144968918586244,56.0298882980414,49.72742318988585,74.5377281560045,49.81132488471992,58.8095535738558,50.033788386614056,67.9307274803549,50.25736176425698,76.5524214999873,24.810304966118657,-24.810304966118657,8.998228689135878,-8.998228689135878,5.884919379455155,-5.884919379455155,17.896939093740848,-17.896939093740848,26.95238036725005,-26.95238036725005,26.295059735730327,-26.295059735730327,42
No-IS (consensus only) + Always-on PT-IS + No debiasing + No country prior (a_h=0),USA,310,0.055100085951935725,-0.6266823739013712,-0.2571428571428572,18.83938902103306,20.795648088437233,0.5093872668715559,-0.626682373901371,6,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.865771766439561,,1.865771766439561,0.5962774908838305,0.0,0.0,0,-1.9156932830757772e-05,0.11521542984093484,20,0.29627370834350586,50.002552270889275,79.20219438265315,50.01654097012111,56.0298882980414,50.002106030782066,74.5377281560045,50.002161959807076,58.8095535738558,50.00087581574917,67.9307274803549,50.001942217350006,76.5524214999873,24.53562212522244,-24.53562212522244,8.807391614048726,-8.807391614048726,6.013347327920286,-6.013347327920286,17.929851664605735,-17.929851664605735,29.199642111763872,-29.199642111763872,26.550479282637298,-26.550479282637298,42
No-IS (consensus only) + Always-on PT-IS + Without persona + No country prior (a_h=0),USA,310,0.055382320456215973,-0.717787018773317,-0.7714285714285715,18.846228816632912,20.81612094469964,0.5098887473857584,-0.7177870187733167,6,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.743334791544945,0.24477104096182847,0.0012039766676964299,,0.0012039766676964299,0.008449011357060483,0.0,0.0,0,0.0014647632837296062,0.0009758803584747233,20,0.3114328384399414,49.960938692092896,79.20219438265315,50.00358653920037,56.0298882980414,49.99782388408979,74.5377281560045,50.081371565659836,58.8095535738558,50.026046484708786,67.9307274803549,49.9153733253479,76.5524214999873,24.539904271914715,-24.539904271914715,8.728182008195965,-8.728182008195965,6.026301758841029,-6.026301758841029,17.904680995646117,-17.904680995646117,29.24125569056025,-29.24125569056025,26.637048174639403,-26.637048174639403,42
No-IS (consensus only) + No debiasing + Without persona + No country prior (a_h=0),USA,310,0.05620743840883533,-0.43048217470277983,-0.2571428571428572,18.936498368851446,20.938523551122525,0.5128869866749862,-0.43048217470277966,6,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.7445387690298019,,0.7445387690298019,0.2454577660723691,0.0,0.0,0,-0.0017736226320266921,0.08314491257600251,20,0.29232287406921387,50.03945529460907,79.20219438265315,50.006214891161235,56.0298882980414,49.405814011891685,74.5377281560045,50.06024271249772,58.8095535738558,50.30292995274067,67.9307274803549,49.628866314888,76.5524214999873,25.13191414411282,-25.13191414411282,8.749310861358083,-8.749310861358083,6.023673406880164,-6.023673406880164,17.627797527614234,-17.627797527614234,29.162739088044077,-29.162739088044077,26.923555185099303,-26.923555185099303,42
