index,country,ablation,delta_jsd_vs_full_mean,delta_jsd_vs_full_std,delta_pearson_r_vs_full_mean,delta_pearson_r_vs_full_std,delta_spearman_rho_vs_full_mean,delta_spearman_rho_vs_full_std,delta_mae_vs_full_mean,delta_mae_vs_full_std,delta_rmse_vs_full_mean,delta_rmse_vs_full_std,delta_mis_vs_full_mean,delta_mis_vs_full_std,jsd_wins,n_seeds
12,ARG,No debiasing + Without persona,-0.0005528238197168647,,0.8925211197852897,,0.8,,-0.05628436644527213,,-0.07824415312744293,,-0.0019165825051842833,,1,1
13,ARG,No debiasing + Without persona + No country prior (a_h=0),-0.0014109665788413772,,1.0995550662713827,,0.7428571428571429,,0.015681162420040806,,-0.052716193036332015,,-0.00129127774121085,,1,1
14,ARG,No-IS (consensus only),-0.00020840946218127904,,0.4724693111308761,,0.0,,-0.03232365424416983,,-0.03910866668157098,,-0.0009579627789043643,,1,1
15,ARG,No-IS (consensus only) + Always-on PT-IS,-0.00020840946218127904,,0.4724693111308761,,0.0,,-0.03232365424416983,,-0.03910866668157098,,-0.0009579627789043643,,1,1
16,ARG,No-IS (consensus only) + Always-on PT-IS + No country prior (a_h=0),-0.00028275210723648775,,0.9323667116715038,,0.4,,-0.035564353125163706,,-0.04556938160179769,,-0.0011162173281857868,,1,1
17,ARG,No-IS (consensus only) + Always-on PT-IS + No debiasing,-8.469587917505489e-05,,0.340423067593064,,0.28571428571428575,,-0.02673831300088736,,-0.028415761986128274,,-0.000696041175183848,,1,1
18,ARG,No-IS (consensus only) + Always-on PT-IS + No debiasing + No country prior (a_h=0),-0.00035742488192579136,,0.9670312510919892,,0.5714285714285715,,-0.0502084074959086,,-0.06249086992258057,,-0.0015307074489296357,,1,1
19,ARG,No-IS (consensus only) + Always-on PT-IS + No debiasing + Without persona,-0.0005583872745825585,,0.8995267283952553,,0.8,,-0.07655204282388439,,-0.09697439763720084,,-0.0023753779232490446,,1,1
20,ARG,No-IS (consensus only) + Always-on PT-IS + No debiasing + Without persona + No country prior (a_h=0),-0.0013468423395498405,,1.075455186771034,,0.7428571428571429,,0.0014145659930022703,,-0.06316414393927161,,-0.0015471992269092127,,1,1
21,ARG,No-IS (consensus only) + Always-on PT-IS + Without persona,-0.00016321327146472803,,0.4050136829640696,,0.5714285714285715,,-0.017128325729434124,,-0.023194491396356653,,-0.0005681466876444885,,1,1
22,ARG,No-IS (consensus only) + Always-on PT-IS + Without persona + No country prior (a_h=0),-0.00017733345621700342,,0.5705589540825147,,0.5142857142857143,,-0.03356904240564873,,-0.039142824625916006,,-0.0009587994742473738,,1,1
23,ARG,No-IS (consensus only) + No country prior (a_h=0),-0.00028275210723648775,,0.9323667116715038,,0.4,,-0.035564353125163706,,-0.04556938160179769,,-0.0011162173281857868,,1,1
24,ARG,No-IS (consensus only) + No debiasing,-8.469587917505489e-05,,0.340423067593064,,0.28571428571428575,,-0.02673831300088736,,-0.028415761986128274,,-0.000696041175183848,,1,1
25,ARG,No-IS (consensus only) + No debiasing + No country prior (a_h=0),-0.00035742488192579136,,0.9670312510919892,,0.5714285714285715,,-0.0502084074959086,,-0.06249086992258057,,-0.0015307074489296357,,1,1
26,ARG,No-IS (consensus only) + No debiasing + Without persona,-0.0005583872745825585,,0.8995267283952553,,0.8,,-0.07655204282388439,,-0.09697439763720084,,-0.0023753779232490446,,1,1
27,ARG,No-IS (consensus only) + No debiasing + Without persona + No country prior (a_h=0),-0.0013468423395498405,,1.075455186771034,,0.7428571428571429,,0.0014145659930022703,,-0.06316414393927161,,-0.0015471992269092127,,1,1
28,ARG,No-IS (consensus only) + Without persona,-0.00016321327146472803,,0.4050136829640696,,0.5714285714285715,,-0.017128325729434124,,-0.023194491396356653,,-0.0005681466876444885,,1,1
29,ARG,No-IS (consensus only) + Without persona + No country prior (a_h=0),-0.00017733345621700342,,0.5705589540825147,,0.5142857142857143,,-0.03356904240564873,,-0.039142824625916006,,-0.0009587994742473738,,1,1
30,ARG,Without persona,-0.00010308590539010593,,0.3367428477848434,,0.17142857142857149,,-0.016152482767790133,,-0.01958138423870892,,-0.0004796439984220968,,1,1
31,ARG,Without persona + No country prior (a_h=0),-0.0006836606144378643,,1.3333141276222977,,1.142857142857143,,-0.041580613581640335,,-0.06972717856147881,,-0.0017079600867955236,,1,1
32,BGD,Always-on PT-IS,-3.6688487666095004e-05,,0.23249274307798273,,0.4571428571428572,,0.005854289209334951,,0.0034339072491675893,,8.411320584500448e-05,,1,1
33,BGD,Always-on PT-IS + No country prior (a_h=0),-8.836777379608862e-05,,0.2883204439898718,,0.4,,0.02769312112761213,,0.02033697143905755,,0.0004981520293924624,,1,1
34,BGD,Always-on PT-IS + No debiasing,-0.0028406532954829908,,0.4224387838403685,,0.5714285714285715,,-0.21010111630981854,,-0.3432338914305326,,-0.008407478964346349,,1,1
35,BGD,Always-on PT-IS + No debiasing + No country prior (a_h=0),0.00035335481837458355,,-0.43288500124584645,,-0.4,,0.05007544222988969,,0.06358306541157077,,0.0015574606654035206,,0,1
36,BGD,Always-on PT-IS + No debiasing + Without persona,-0.0037413034970097264,,0.3612884118278703,,0.4,,-0.39549011762663966,,-0.5634875335059846,,-0.013802569335090942,,1,1
37,BGD,Always-on PT-IS + No debiasing + Without persona + No country prior (a_h=0),0.0007404609083271202,,-0.46321097768512365,,-0.1142857142857143,,0.04724480877976589,,0.08045972869638973,,0.0019708528014891757,,0,1
38,BGD,Always-on PT-IS + Without persona,-1.9944999288069865e-05,,0.09631023269855621,,0.05714285714285715,,0.01866430010660025,,0.01591331097043991,,0.00038979491995810855,,1,1
39,BGD,Always-on PT-IS + Without persona + No country prior (a_h=0),-3.470748237520416e-05,,0.05998783124837492,,0.5142857142857142,,0.0198175984402873,,0.015933314728727055,,0.00039028490996551035,,1,1
40,BGD,Full SWA-DPBR,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,1
41,BGD,No country prior (a_h=0),0.00011503272031893746,,-0.24847096132973745,,0.17142857142857143,,0.01122014198931609,,0.01639715999935376,,0.0004016467522918732,,0,1
42,BGD,No debiasing,-0.0029802594886513822,,0.4378242368751888,,0.5142857142857142,,-0.26054609781394333,,-0.3961888501338251,,-0.009704605246078635,,1,1
43,BGD,No debiasing + No country prior (a_h=0),0.00038579448586611303,,-0.4840068998070841,,-0.742857142857143,,0.01823132962172025,,0.0363309479872882,,0.0008899228444044227,,0,1
44,BGD,No debiasing + Without persona,-0.0037132016099632667,,0.3635935707087432,,0.4,,-0.4069883498976665,,-0.572145217708556,,-0.01401463842159556,,1,1
45,BGD,No debiasing + Without persona + No country prior (a_h=0),0.0005265106633451089,,-0.3710688654004041,,-0.1142857142857143,,0.08869919113880087,,0.10628973216542548,,0.0026035560870238394,,0,1
46,BGD,No-IS (consensus only),0.00012275672486711242,,-0.39809543437117273,,0.0,,0.014860580209720808,,0.02009464312009257,,0.0004922162220756254,,0,1
47,BGD,No-IS (consensus only) + Always-on PT-IS,0.00012275672486711242,,-0.39809543437117273,,0.0,,0.014860580209720808,,0.02009464312009257,,0.0004922162220756254,,0,1
48,BGD,No-IS (consensus only) + Always-on PT-IS + No country prior (a_h=0),0.00016417272737952876,,-0.7642664340469051,,-0.6857142857142857,,0.007698101459929774,,0.015817677122125673,,0.0003874523786530637,,0,1
49,BGD,No-IS (consensus only) + Always-on PT-IS + No debiasing,-0.002214715209052698,,0.4468352479404806,,0.742857142857143,,-0.19192095364188688,,-0.29217069938681206,,-0.007156691312897867,,1,1
50,BGD,No-IS (consensus only) + Always-on PT-IS + No debiasing + No country prior (a_h=0),0.00024308714646437135,,-0.7018403025463134,,-0.742857142857143,,-0.0057060210790531585,,0.008129691755208057,,0.0001991359656637326,,0,1
51,BGD,No-IS (consensus only) + Always-on PT-IS + No debiasing + Without persona,-0.003680377495699931,,0.3659067061789357,,0.4,,-0.3842606216440352,,-0.5495969738683684,,-0.013462321501552355,,1,1
52,BGD,No-IS (consensus only) + Always-on PT-IS + No debiasing + Without persona + No country prior (a_h=0),0.0005893305726151904,,-0.40057265336499587,,-0.1142857142857143,,0.07430122855820542,,0.09668787675803969,,0.0023683596237030757,,0,1
53,BGD,No-IS (consensus only) + Always-on PT-IS + Without persona,3.416371096555404e-05,,0.013443953637970518,,0.0,,0.011758630228232647,,0.012458864986083285,,0.000305178619901314,,0,1
54,BGD,No-IS (consensus only) + Always-on PT-IS + Without persona + No country prior (a_h=0),1.3955646336369365e-05,,0.009728801208660098,,0.4571428571428572,,-0.00030824780517235695,,0.0005966755501773946,,1.4615506399251466e-05,,0,1
55,BGD,No-IS (consensus only) + No country prior (a_h=0),0.00016417272737952876,,-0.7642664340469051,,-0.6857142857142857,,0.007698101459929774,,0.015817677122125673,,0.0003874523786530637,,0,1
56,BGD,No-IS (consensus only) + No debiasing,-0.002214715209052698,,0.4468352479404806,,0.742857142857143,,-0.19192095364188688,,-0.29217069938681206,,-0.007156691312897867,,1,1
57,BGD,No-IS (consensus only) + No debiasing + No country prior (a_h=0),0.00024308714646437135,,-0.7018403025463134,,-0.742857142857143,,-0.0057060210790531585,,0.008129691755208057,,0.0001991359656637326,,0,1
58,BGD,No-IS (consensus only) + No debiasing + Without persona,-0.003680377495699931,,0.3659067061789357,,0.4,,-0.3842606216440352,,-0.5495969738683684,,-0.013462321501552355,,1,1
59,BGD,No-IS (consensus only) + No debiasing + Without persona + No country prior (a_h=0),0.0005893305726151904,,-0.40057265336499587,,-0.1142857142857143,,0.07430122855820542,,0.09668787675803969,,0.0023683596237030757,,0,1
60,BGD,No-IS (consensus only) + Without persona,3.416371096555404e-05,,0.013443953637970518,,0.0,,0.011758630228232647,,0.012458864986083285,,0.000305178619901314,,0,1
61,BGD,No-IS (consensus only) + Without persona + No country prior (a_h=0),1.3955646336369365e-05,,0.009728801208660098,,0.4571428571428572,,-0.00030824780517235695,,0.0005966755501773946,,1.4615506399251466e-05,,0,1
62,BGD,Without persona,0.000150045352705859,,-0.33656068822193946,,-0.057142857142857155,,0.02840052834997664,,0.033449264010300794,,0.0008193362909688084,,0,1
63,BGD,Without persona + No country prior (a_h=0),0.00032733127832244857,,-0.6311659404637917,,-0.28571428571428575,,0.011522909932132563,,0.02774150783288931,,0.0006795253888600139,,0,1
64,BRA,Always-on PT-IS,1.9378644108392074e-05,,0.07858206166373649,,0.17142857142857149,,0.001689252019827947,,0.0026389531236219455,,6.464088607999185e-05,,0,1
65,BRA,Always-on PT-IS + No country prior (a_h=0),-2.2167049430192598e-05,,0.2963790618718495,,0.39999999999999997,,-0.03373275401442122,,-0.03151771696075656,,-0.0007720232441131292,,1,1
66,BRA,Always-on PT-IS + No debiasing,-0.00021667474495899036,,0.7333905331230348,,0.8,,-0.06904308866045916,,-0.07268282088731937,,-0.0017803582424003594,,1,1
67,BRA,Always-on PT-IS + No debiasing + No country prior (a_h=0),-0.00013638938471120104,,0.6586889730536195,,0.8,,-0.016773425218714166,,-0.021861133346213535,,-0.0005354862189715925,,1,1
68,BRA,Always-on PT-IS + No debiasing + Without persona,-0.000432829523229733,,0.8892413073275132,,1.3714285714285714,,-0.07030763964624498,,-0.0848404117097381,,-0.002078157182564988,,1,1
69,BRA,Always-on PT-IS + No debiasing + Without persona + No country prior (a_h=0),-0.00011248656178269173,,0.6362770748709952,,0.7428571428571429,,-0.06378296993186616,,-0.06346085418797998,,-0.0015544671140171329,,1,1
70,BRA,Always-on PT-IS + Without persona,0.00012244011563515567,,-0.07265963133257325,,-0.05714285714285727,,0.0032404614013987754,,0.009013396689027786,,0.00022078222737403896,,0,1
71,BRA,Always-on PT-IS + Without persona + No country prior (a_h=0),-0.0004907521686547608,,1.4504260974834997,,1.6571428571428573,,-0.049379664516271404,,-0.06975115146458322,,-0.0017085473005981067,,1,1
72,BRA,Full SWA-DPBR,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,1
73,BRA,No country prior (a_h=0),-0.00014663839405177487,,0.6558472115353599,,0.4571428571428572,,-0.036234971193671583,,-0.03986246528851467,,-0.0009764269984627316,,1,1
74,BRA,No debiasing,-0.0005563379425141471,,0.9839401269921011,,1.4857142857142858,,-0.08423246387909522,,-0.1039389271426927,,-0.002545973359119158,,1,1
75,BRA,No debiasing + No country prior (a_h=0),-9.870486962272607e-05,,0.6192045951368502,,0.39999999999999997,,-0.03317140095869142,,-0.03523194447900124,,-0.000863002866196172,,1,1
76,BRA,No debiasing + Without persona,-0.000513347937896487,,0.9351532198515603,,1.3142857142857145,,-0.0768938211084702,,-0.09492540414929351,,-0.002325188037932413,,1,1
77,BRA,No debiasing + Without persona + No country prior (a_h=0),0.00023643380322531382,,0.31107640301595996,,0.2857142857142857,,-0.07629225467983503,,-0.05649982127416919,,-0.0013839573268016325,,0,1
78,BRA,No-IS (consensus only),-0.00016692519415617557,,0.7773347777094779,,0.8571428571428572,,0.004467786642075922,,-0.004490704283004021,,-0.00010999934079086726,,1,1
79,BRA,No-IS (consensus only) + Always-on PT-IS,-0.00016692519415617557,,0.7773347777094779,,0.8571428571428572,,0.004467786642075922,,-0.004490704283004021,,-0.00010999934079086726,,1,1
80,BRA,No-IS (consensus only) + Always-on PT-IS + No country prior (a_h=0),-0.00013681225070359682,,0.517258256180213,,0.5142857142857142,,0.011424568675233004,,0.0034209600241794647,,8.379606489689051e-05,,1,1
81,BRA,No-IS (consensus only) + Always-on PT-IS + No debiasing,-0.00048224792249423193,,1.025063352298789,,1.4285714285714288,,-0.050231920120038964,,-0.06966154175522021,,-0.0017063523199586927,,1,1
82,BRA,No-IS (consensus only) + Always-on PT-IS + No debiasing + No country prior (a_h=0),-0.00020596497766644378,,0.8485624349127066,,1.142857142857143,,0.009289123769683272,,-0.0022199836894571945,,-5.437827276472129e-05,,1,1
83,BRA,No-IS (consensus only) + Always-on PT-IS + No debiasing + Without persona,-0.0005340932009953725,,0.9447775913163043,,1.3142857142857145,,-0.07188978280930236,,-0.09151750895820143,,-0.002241711994781792,,1,1
84,BRA,No-IS (consensus only) + Always-on PT-IS + No debiasing + Without persona + No country prior (a_h=0),-0.0001389311485414657,,0.6769030036663709,,0.5142857142857142,,-0.05845445837871743,,-0.05995321549531596,,-0.0014685478640264482,,1,1
85,BRA,No-IS (consensus only) + Always-on PT-IS + Without persona,-0.00012292055007422087,,0.2910506085228559,,0.6857142857142857,,-0.01479008469422105,,-0.019655065301268593,,-0.000481448808491991,,1,1
86,BRA,No-IS (consensus only) + Always-on PT-IS + Without persona + No country prior (a_h=0),-0.0001448716459081234,,0.6484237135533168,,0.6857142857142857,,-0.026664309852753476,,-0.031676570133136295,,-0.0007759143362767174,,1,1
87,BRA,No-IS (consensus only) + No country prior (a_h=0),-0.00013681225070359682,,0.517258256180213,,0.5142857142857142,,0.011424568675233004,,0.0034209600241794647,,8.379606489689051e-05,,1,1
88,BRA,No-IS (consensus only) + No debiasing,-0.00048224792249423193,,1.025063352298789,,1.4285714285714288,,-0.050231920120038964,,-0.06966154175522021,,-0.0017063523199586927,,1,1
89,BRA,No-IS (consensus only) + No debiasing + No country prior (a_h=0),-0.00020596497766644378,,0.8485624349127066,,1.142857142857143,,0.009289123769683272,,-0.0022199836894571945,,-5.437827276472129e-05,,1,1
90,BRA,No-IS (consensus only) + No debiasing + Without persona,-0.0005340932009953725,,0.9447775913163043,,1.3142857142857145,,-0.07188978280930236,,-0.09151750895820143,,-0.002241711994781792,,1,1
91,BRA,No-IS (consensus only) + No debiasing + Without persona + No country prior (a_h=0),-0.0001389311485414657,,0.6769030036663709,,0.5142857142857142,,-0.05845445837871743,,-0.05995321549531596,,-0.0014685478640264482,,1,1
92,BRA,No-IS (consensus only) + Without persona,-0.00012292055007422087,,0.2910506085228559,,0.6857142857142857,,-0.01479008469422105,,-0.019655065301268593,,-0.000481448808491991,,1,1
93,BRA,No-IS (consensus only) + Without persona + No country prior (a_h=0),-0.0001448716459081234,,0.6484237135533168,,0.6857142857142857,,-0.026664309852753476,,-0.031676570133136295,,-0.0007759143362767174,,1,1
94,BRA,Without persona,7.939951862744737e-05,,-0.11648593456089595,,0.0,,-0.02589996647517978,,-0.019256101511533785,,-0.0004716762313849432,,0,1
95,BRA,Without persona + No country prior (a_h=0),-0.0002810853692918197,,0.9326912894853744,,1.0285714285714287,,-0.039296680261797334,,-0.050296614578201115,,-0.001232010415060214,,1,1
96,CHN,Always-on PT-IS,0.000162739898792702,,-0.3845985349995076,,-0.2285714285714286,,0.01445433399520013,,0.022361668993266193,,0.0005477467883052145,,0,1
97,CHN,Always-on PT-IS + No country prior (a_h=0),0.0002464892801102153,,-0.4802289910829953,,-0.17142857142857143,,-0.003112445904474015,,0.012241851946686921,,0.00029986290776085056,,0,1
98,CHN,Always-on PT-IS + No debiasing,0.002723309645777293,,-1.1398833457299808,,-0.8571428571428572,,0.2153855106351905,,0.34734016346086705,,0.00850806167654039,,0,1
99,CHN,Always-on PT-IS + No debiasing + No country prior (a_h=0),-0.00027949974541164463,,0.29104340190134254,,0.45714285714285713,,-0.0055948404001320284,,-0.02049887576107423,,-0.0005021178591532727,,1,1
100,CHN,Always-on PT-IS + No debiasing + Without persona,-0.0014443726066162219,,0.48597206007172616,,0.28571428571428575,,-0.05593221179291419,,-0.13235569205942,,-0.003242039100985139,,1,1
101,CHN,Always-on PT-IS + No debiasing + Without persona + No country prior (a_h=0),0.0001547177913234568,,-0.31021155132922934,,-0.4,,0.0036792529453890666,,0.01232323025985238,,0.00030185626119477726,,0,1
102,CHN,Always-on PT-IS + Without persona,0.00015962988261170735,,-0.37026835764960864,,-0.17142857142857143,,-0.0017793188098629287,,0.00850404221456813,,0.00020830564176776978,,0,1
103,CHN,Always-on PT-IS + Without persona + No country prior (a_h=0),0.00028723907340008625,,-0.630184797832728,,-0.4,,0.026876741183805564,,0.04094409259532128,,0.0010029213483980781,,0,1
104,CHN,Full SWA-DPBR,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,1
105,CHN,No country prior (a_h=0),0.00017108113842823763,,-0.3966539468850562,,-0.1142857142857143,,-0.01089998226113309,,0.0015979941063584135,,3.914270172566958e-05,,0,1
106,CHN,No debiasing,0.001731533471219189,,-1.0390875738110361,,-0.5714285714285714,,0.11070535881659893,,0.19941907399183023,,0.004884749762583129,,0,1
107,CHN,No debiasing + No country prior (a_h=0),-3.500382895967741e-05,,0.07527308161620411,,-0.05714285714285716,,-0.048526205751954876,,-0.04347779775472205,,-0.0010649841963898954,,1,1
108,CHN,No debiasing + Without persona,-0.001269730500351944,,0.42481481526491277,,0.11428571428571432,,-0.04075915131591756,,-0.10930767546269848,,-0.0026774802985334856,,1,1
109,CHN,No debiasing + Without persona + No country prior (a_h=0),-0.0003613699476646831,,0.11408328928931505,,0.2285714285714286,,-0.05885217029220158,,-0.07189945463220226,,-0.0017611697663328374,,1,1
110,CHN,No-IS (consensus only),0.0001548518809328589,,-0.4517177355885507,,-0.6285714285714287,,0.016660337856968965,,0.024040662344322783,,0.0005888735582214588,,0,1
111,CHN,No-IS (consensus only) + Always-on PT-IS,0.0001548518809328589,,-0.4517177355885507,,-0.6285714285714287,,0.016660337856968965,,0.024040662344322783,,0.0005888735582214588,,0,1
112,CHN,No-IS (consensus only) + Always-on PT-IS + No country prior (a_h=0),8.563419552419516e-05,,0.05249923046325927,,-0.1142857142857143,,0.01644146923475276,,0.019797397677823625,,0.00048493522545633994,,0,1
113,CHN,No-IS (consensus only) + Always-on PT-IS + No debiasing,0.0033107294608736154,,-1.180374933484236,,-1.0857142857142859,,0.23503346851477502,,0.3990724129836636,,0.00977523782231221,,0,1
114,CHN,No-IS (consensus only) + Always-on PT-IS + No debiasing + No country prior (a_h=0),-4.6522725269379506e-05,,0.3438700489616588,,0.5714285714285716,,0.019025919240764466,,0.014841985254541612,,0.00036355290643552696,,1,1
115,CHN,No-IS (consensus only) + Always-on PT-IS + No debiasing + Without persona,-0.0013274554506559205,,0.47993427721574494,,0.28571428571428575,,-0.04961065709158774,,-0.11999108148902238,,-0.0029391692333282093,,1,1
116,CHN,No-IS (consensus only) + Always-on PT-IS + No debiasing + Without persona + No country prior (a_h=0),-6.183001061303706e-05,,-0.11367360561865342,,-0.17142857142857143,,-0.04729116292022795,,-0.04469475477000984,,-0.0010947934336534293,,1,1
117,CHN,No-IS (consensus only) + Always-on PT-IS + Without persona,0.00017268555160748766,,-0.43484864050097277,,-0.3428571428571429,,0.006938175718342876,,0.01657946395821952,,0.00040611226906506204,,0,1
118,CHN,No-IS (consensus only) + Always-on PT-IS + Without persona + No country prior (a_h=0),9.00435531734009e-05,,-0.22161811830652856,,-0.1142857142857143,,-0.002886699521209124,,0.003561177126758963,,8.723066844235072e-05,,0,1
119,CHN,No-IS (consensus only) + No country prior (a_h=0),8.563419552419516e-05,,0.05249923046325927,,-0.1142857142857143,,0.01644146923475276,,0.019797397677823625,,0.00048493522545633994,,0,1
120,CHN,No-IS (consensus only) + No debiasing,0.0033107294608736154,,-1.180374933484236,,-1.0857142857142859,,0.23503346851477502,,0.3990724129836636,,0.00977523782231221,,0,1
121,CHN,No-IS (consensus only) + No debiasing + No country prior (a_h=0),-4.6522725269379506e-05,,0.3438700489616588,,0.5714285714285716,,0.019025919240764466,,0.014841985254541612,,0.00036355290643552696,,1,1
122,CHN,No-IS (consensus only) + No debiasing + Without persona,-0.0013274554506559205,,0.47993427721574494,,0.28571428571428575,,-0.04961065709158774,,-0.11999108148902238,,-0.0029391692333282093,,1,1
123,CHN,No-IS (consensus only) + No debiasing + Without persona + No country prior (a_h=0),-6.183001061303706e-05,,-0.11367360561865342,,-0.17142857142857143,,-0.04729116292022795,,-0.04469475477000984,,-0.0010947934336534293,,1,1
124,CHN,No-IS (consensus only) + Without persona,0.00017268555160748766,,-0.43484864050097277,,-0.3428571428571429,,0.006938175718342876,,0.01657946395821952,,0.00040611226906506204,,0,1
125,CHN,No-IS (consensus only) + Without persona + No country prior (a_h=0),9.00435531734009e-05,,-0.22161811830652856,,-0.1142857142857143,,-0.002886699521209124,,0.003561177126758963,,8.723066844235072e-05,,0,1
126,CHN,Without persona,-2.07875145410083e-05,,0.14385180607930437,,0.3428571428571428,,-0.004183220342888205,,-0.004562480625413201,,-0.00011175749493591569,,1,1
127,CHN,Without persona + No country prior (a_h=0),0.00036105539560422895,,-0.703170209419721,,-0.5142857142857143,,-0.014152093577333602,,0.009427678605458567,,0.00023093002042340327,,0,1
128,COL,Always-on PT-IS,5.434172412215055e-05,,0.28515804288307534,,0.34285714285714297,,0.0011263434440031972,,0.0030940288182641495,,7.578791854212508e-05,,0,1
129,COL,Always-on PT-IS + No country prior (a_h=0),9.432554216676214e-06,,0.5047222530854618,,0.45714285714285724,,-0.03629298255130209,,-0.03317990109016833,,-0.0008127382738692956,,0,1
130,COL,Always-on PT-IS + No debiasing,-0.00030759993285221776,,0.8481914063637844,,0.6285714285714287,,-0.02518020593079484,,-0.037383631618677526,,-0.0009157082219793944,,1,1
131,COL,Always-on PT-IS + No debiasing + No country prior (a_h=0),-0.00014058771584832264,,0.7058859087576472,,0.4000000000000001,,-0.04546577254031092,,-0.04962923857778989,,-0.001215663108384446,,1,1
132,COL,Always-on PT-IS + No debiasing + Without persona,-0.00016727971397899333,,0.713063420169031,,0.742857142857143,,-0.07105343220958815,,-0.07393619307852006,,-0.0018110594656627343,,1,1
133,COL,Always-on PT-IS + No debiasing + Without persona + No country prior (a_h=0),-0.0008914330828183673,,0.9547093261126224,,0.742857142857143,,-0.05041163203071619,,-0.08860058861881015,,-0.002170262330263295,,1,1
134,COL,Always-on PT-IS + Without persona,-2.294785227355267e-05,,0.41209850183486657,,0.28571428571428575,,0.007832831190249578,,0.006368429465261727,,0.00015599402652799466,,1,1
135,COL,Always-on PT-IS + Without persona + No country prior (a_h=0),0.0003520671195794342,,-0.18690438457732417,,-0.05714285714285705,,0.022246366088364056,,0.03625443249615046,,0.0008880486052973424,,0,1
136,COL,Full SWA-DPBR,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,1
137,COL,No country prior (a_h=0),0.0003080042551826326,,-0.17692631743211762,,-0.17142857142857149,,0.012300616502301409,,0.025017004321107095,,0.000612788954797161,,0,1
138,COL,No debiasing,-1.7949782275171466e-05,,0.5384641584185343,,0.6285714285714287,,-0.05770405602367745,,-0.054483579947127936,,-0.0013345697023060543,,1,1
139,COL,No debiasing + No country prior (a_h=0),0.0003731621182180289,,0.16647217347973653,,0.17142857142857149,,0.03115412207304047,,0.045118516950669374,,0.001105173444802543,,0,1
140,COL,No debiasing + Without persona,-6.670974122061774e-05,,0.6628107720362203,,0.742857142857143,,-0.10920441893052413,,-0.10477073084323152,,-0.002566348305443944,,1,1
141,COL,No debiasing + Without persona + No country prior (a_h=0),-0.0006088063453758702,,0.886291983440517,,0.8000000000000002,,-0.04712116412036593,,-0.07249344284062076,,-0.0017757194465714,,1,1
142,COL,No-IS (consensus only),-0.00012136377081395366,,0.43242922302369036,,0.4000000000000001,,-0.012927550022176604,,-0.01735680341265322,,-0.00042515311926805133,,1,1
143,COL,No-IS (consensus only) + Always-on PT-IS,-0.00012136377081395366,,0.43242922302369036,,0.4000000000000001,,-0.012927550022176604,,-0.01735680341265322,,-0.00042515311926805133,,1,1
