country,baseline,phenomenon_category,preferred_on_right,p_spare_preferred,n_left,n_right
GBR,B3_long,Utilitarianism,1,1.0,2,4
GBR,B3_long,Age,0,0.0,5,5
GBR,B3_long,Age,0,0.0,4,4
GBR,B3_long,Species,0,0.04742587357759476,2,2
GBR,B3_long,Fitness,0,0.0,5,5
GBR,B3_long,SocialValue,1,1.0,5,5
GBR,B3_long,Gender,0,0.0,2,2
GBR,B3_long,Fitness,0,0.0,5,5
GBR,B3_long,Gender,1,1.0,4,4
GBR,B3_long,SocialValue,0,0.0,2,2
GBR,B3_long,Age,1,1.0,4,4
GBR,B3_long,Fitness,1,1.0,2,2
GBR,B3_long,Utilitarianism,1,1.0,2,3
GBR,B3_long,Age,0,0.0,3,3
GBR,B3_long,Age,1,1.0,4,4
GBR,B3_long,Age,0,0.0,3,3
GBR,B3_long,Age,0,0.0,5,5
GBR,B3_long,Gender,0,0.0,1,1
GBR,B3_long,Gender,0,0.0,1,1
GBR,B3_long,Gender,1,1.0,5,5
GBR,B3_long,Fitness,0,0.0,5,5
GBR,B3_long,Fitness,1,1.0,1,1
GBR,B3_long,Age,0,0.0,2,2
GBR,B3_long,SocialValue,0,0.0,3,3
GBR,B3_long,Gender,1,1.0,5,5
GBR,B3_long,SocialValue,0,0.0,1,1
GBR,B3_long,Gender,0,0.0,1,1
GBR,B3_long,Species,1,1.0,2,2
GBR,B3_long,Age,0,0.0,5,5
GBR,B3_long,SocialValue,1,1.0,5,5
GBR,B3_long,SocialValue,1,1.0,1,1
GBR,B3_long,Fitness,1,1.0,5,5
GBR,B3_long,SocialValue,1,1.0,4,4
GBR,B3_long,Gender,0,0.0,3,3
GBR,B3_long,Gender,0,0.0,1,1
GBR,B3_long,Age,0,0.0,3,3
GBR,B3_long,Fitness,1,1.0,3,3
GBR,B3_long,Age,1,1.0,2,2
GBR,B3_long,Gender,0,0.0,4,4
GBR,B3_long,Gender,1,1.0,2,2
GBR,B3_long,SocialValue,1,0.0,1,1
GBR,B3_long,Age,1,1.0,3,3
GBR,B3_long,SocialValue,1,1.0,3,3
GBR,B3_long,Gender,0,0.0,4,4
GBR,B3_long,Age,0,0.0,3,3
GBR,B3_long,Fitness,1,1.0,2,2
GBR,B3_long,Species,0,0.06008664518594742,1,1
GBR,B3_long,Gender,0,0.0,5,5
GBR,B3_long,SocialValue,0,1.0,5,5
GBR,B3_long,Utilitarianism,0,0.7310585379600525,4,2
GBR,B3_long,Fitness,1,1.0,3,3
GBR,B3_long,SocialValue,0,0.0,4,4
GBR,B3_long,Species,0,0.0,2,2
GBR,B3_long,Species,1,1.0,3,3
GBR,B3_long,Fitness,1,1.0,4,4
GBR,B3_long,Fitness,1,1.0,5,5
GBR,B3_long,SocialValue,1,1.0,3,3
GBR,B3_long,SocialValue,1,1.0,4,4
GBR,B3_long,Fitness,1,1.0,1,1
GBR,B3_long,SocialValue,1,0.622459352016449,2,2
GBR,B3_long,Species,1,1.0,5,5
GBR,B3_long,SocialValue,1,1.0,3,3
GBR,B3_long,Gender,0,0.0,3,3
GBR,B3_long,Fitness,0,0.0,3,3
GBR,B3_long,SocialValue,1,1.0,5,5
GBR,B3_long,Gender,1,1.0,5,5
GBR,B3_long,SocialValue,1,1.0,1,1
GBR,B3_long,SocialValue,0,0.0,2,2
GBR,B3_long,Age,1,1.0,5,5
GBR,B3_long,Gender,1,1.0,4,4
GBR,B3_long,Fitness,0,1.0,4,4
GBR,B3_long,Gender,0,0.0,5,5
GBR,B3_long,Species,1,1.0,1,1
GBR,B3_long,Fitness,1,1.0,3,3
GBR,B3_long,SocialValue,1,1.0,5,5
GBR,B3_long,Gender,1,1.0,2,2
GBR,B3_long,Gender,0,0.0,4,4
GBR,B3_long,SocialValue,1,1.0,4,4
GBR,B3_long,Fitness,1,1.0,1,1
GBR,B3_long,Gender,0,0.0,5,5
GBR,B3_long,Gender,1,1.0,5,5
GBR,B3_long,Fitness,0,0.0,1,1
GBR,B3_long,Age,0,0.0,5,5
GBR,B3_long,Utilitarianism,0,0.0,5,1
GBR,B3_long,Utilitarianism,0,0.0,4,3
GBR,B3_long,Age,1,1.0,1,1
GBR,B3_long,Age,1,1.0,2,2
GBR,B3_long,Age,0,0.0,1,1
GBR,B3_long,Utilitarianism,1,1.0,3,4
GBR,B3_long,Gender,1,1.0,2,2
GBR,B3_long,SocialValue,1,1.0,2,2
GBR,B3_long,Fitness,1,1.0,5,5
GBR,B3_long,Age,1,1.0,4,4
GBR,B3_long,Gender,1,1.0,2,2
GBR,B3_long,Gender,0,0.0,3,3
GBR,B3_long,Age,0,0.0,4,4
GBR,B3_long,Gender,1,1.0,4,4
GBR,B3_long,Fitness,1,0.0,5,5
GBR,B3_long,Fitness,1,0.0,1,1
GBR,B3_long,Fitness,0,0.0,3,3
GBR,B3_long,Age,1,1.0,1,1
GBR,B3_long,Fitness,0,0.0,3,3
GBR,B3_long,Species,1,1.0,1,1
GBR,B3_long,Gender,1,1.0,2,2
GBR,B3_long,Age,0,0.0,4,4
GBR,B3_long,Age,0,0.0,3,3
GBR,B3_long,Gender,0,0.0,4,4
GBR,B3_long,Age,0,0.0,3,3
GBR,B3_long,Fitness,0,1.0,4,4
GBR,B3_long,Gender,1,1.0,1,1
GBR,B3_long,SocialValue,0,0.0,2,2
GBR,B3_long,SocialValue,1,1.0,3,3
GBR,B3_long,SocialValue,1,1.0,3,3
GBR,B3_long,Fitness,1,1.0,5,5
GBR,B3_long,Gender,1,1.0,2,2
GBR,B3_long,Utilitarianism,0,0.0,5,2
GBR,B3_long,Gender,1,1.0,1,1
GBR,B3_long,Gender,1,1.0,4,4
GBR,B3_long,Fitness,0,0.0,2,2
GBR,B3_long,Age,0,0.0,1,1
GBR,B3_long,SocialValue,1,1.0,1,1
GBR,B3_long,Age,1,1.0,3,3
GBR,B3_long,SocialValue,0,0.0,1,1
GBR,B3_long,Age,1,1.0,5,5
GBR,B3_long,Gender,1,1.0,1,1
GBR,B3_long,Species,1,1.0,4,4
GBR,B3_long,SocialValue,0,0.0,1,1
GBR,B3_long,SocialValue,0,0.22270016372203827,1,1
GBR,B3_long,Age,0,0.0,5,5
GBR,B3_long,Gender,0,0.0,2,2
GBR,B3_long,Fitness,1,1.0,1,1
GBR,B3_long,Gender,1,1.0,3,3
GBR,B3_long,Age,0,0.0,4,4
GBR,B3_long,SocialValue,0,0.0,1,1
GBR,B3_long,SocialValue,0,1.0,1,1
GBR,B3_long,Age,1,1.0,1,1
GBR,B3_long,Age,0,0.0,2,2
GBR,B3_long,Fitness,1,1.0,3,3
GBR,B3_long,SocialValue,0,1.0,2,2
GBR,B3_long,SocialValue,0,0.0,5,5
GBR,B3_long,Age,1,1.0,1,1
GBR,B3_long,Gender,0,0.0,5,5
GBR,B3_long,SocialValue,0,0.0,5,5
GBR,B3_long,Utilitarianism,0,0.2689414620399475,3,2
GBR,B3_long,Gender,1,1.0,1,1
GBR,B3_long,Age,1,1.0,3,3
GBR,B3_long,Species,1,1.0,5,5
GBR,B3_long,Fitness,0,0.0,2,2
GBR,B3_long,Fitness,0,0.0,1,1
GBR,B3_long,Gender,0,0.0,1,1
GBR,B3_long,Age,0,0.0,2,2
GBR,B3_long,Fitness,0,1.0,3,3
GBR,B3_long,Gender,1,1.0,4,4
GBR,B3_long,Age,1,1.0,5,5
GBR,B3_long,SocialValue,1,1.0,5,5
GBR,B3_long,SocialValue,0,0.0,5,5
GBR,B3_long,SocialValue,1,1.0,4,4
GBR,B3_long,Gender,0,0.0,2,2
GBR,B3_long,Fitness,0,0.0,2,2
GBR,B3_long,Age,1,1.0,4,4
GBR,B3_long,Fitness,0,0.0,1,1
GBR,B3_long,Species,0,0.7310585379600525,3,3
GBR,B3_long,Utilitarianism,1,1.0,1,4
GBR,B3_long,Age,0,0.0,1,1
GBR,B3_long,Utilitarianism,1,1.0,1,2
GBR,B3_long,SocialValue,1,1.0,3,3
GBR,B3_long,Fitness,0,0.0,2,2
GBR,B3_long,Species,1,1.0,4,4
GBR,B3_long,Gender,0,0.0,3,3
GBR,B3_long,SocialValue,0,0.0,3,3
GBR,B3_long,Age,0,0.0,2,2
GBR,B3_long,Gender,0,0.0,5,5
GBR,B3_long,Age,1,1.0,2,2
GBR,B3_long,Fitness,1,1.0,4,4
GBR,B3_long,Gender,0,0.0,2,2
GBR,B3_long,SocialValue,1,1.0,4,4
GBR,B3_long,Age,1,1.0,2,2
GBR,B3_long,Gender,1,1.0,1,1
GBR,B3_long,Gender,0,0.0,2,2
GBR,B3_long,Utilitarianism,1,1.0,3,5
GBR,B3_long,Species,1,1.0,3,3
GBR,B3_long,SocialValue,1,1.0,4,4
GBR,B3_long,Fitness,1,1.0,1,1
GBR,B3_long,SocialValue,1,1.0,2,2
GBR,B3_long,SocialValue,1,1.0,3,3
GBR,B3_long,Fitness,1,1.0,2,2
GBR,B3_long,Gender,0,0.0,4,4
GBR,B3_long,SocialValue,0,0.0,3,3
GBR,B3_long,Gender,1,1.0,3,3
GBR,B3_long,Fitness,1,1.0,4,4
GBR,B3_long,Age,0,0.0,5,5
GBR,B3_long,Gender,1,1.0,5,5
GBR,B3_long,SocialValue,0,0.0,5,5
GBR,B3_long,Fitness,1,1.0,2,2
GBR,B3_long,Gender,0,0.0,5,5
GBR,B3_long,SocialValue,1,1.0,4,4
GBR,B3_long,Fitness,1,1.0,4,4
GBR,B3_long,Age,1,1.0,4,4
GBR,B3_long,Age,0,0.0,4,4
GBR,B3_long,SocialValue,0,0.0,1,1
GBR,B3_long,Fitness,0,0.0,4,4
GBR,B3_long,Utilitarianism,0,0.0,5,3
GBR,B3_long,Fitness,0,1.0,2,2
GBR,B3_long,Age,1,1.0,3,3
GBR,B3_long,Species,1,1.0,2,2
GBR,B3_long,SocialValue,0,0.0,4,4
GBR,B3_long,SocialValue,0,0.0,4,4
GBR,B3_long,Fitness,0,0.0,5,5
GBR,B3_long,Age,1,1.0,4,4
GBR,B3_long,Fitness,1,1.0,2,2
GBR,B3_long,Age,1,1.0,1,1
GBR,B3_long,Gender,1,1.0,3,3
GBR,B3_long,SocialValue,0,0.622459352016449,3,3
GBR,B3_long,Age,1,1.0,5,5
GBR,B3_long,Age,0,0.0,1,1
GBR,B3_long,Gender,1,1.0,3,3
GBR,B3_long,SocialValue,0,0.0,5,5
GBR,B3_long,Species,0,0.00857748556882143,5,5
GBR,B3_long,SocialValue,0,0.0,4,4
GBR,B3_long,SocialValue,1,1.0,5,5
GBR,B3_long,Age,1,1.0,5,5
GBR,B3_long,SocialValue,0,0.0,4,4
GBR,B3_long,Fitness,0,0.0,5,5
GBR,B3_long,SocialValue,1,1.0,1,1
GBR,B3_long,SocialValue,0,1.0,4,4
GBR,B3_long,Fitness,1,1.0,3,3
GBR,B3_long,Fitness,0,0.0,1,1
GBR,B3_long,Species,0,0.0,4,4
GBR,B3_long,SocialValue,1,1.0,3,3
GBR,B3_long,Fitness,0,0.0,1,1
GBR,B3_long,Gender,0,0.0,2,2
GBR,B3_long,Utilitarianism,1,1.0,1,5
GBR,B3_long,Gender,0,0.0,1,1
GBR,B3_long,Utilitarianism,0,0.0,5,4
GBR,B3_long,Fitness,0,0.0,4,4
GBR,B3_long,SocialValue,1,1.0,2,2
GBR,B3_long,SocialValue,1,1.0,2,2
GBR,B3_long,Age,0,0.0,1,1
GBR,B3_long,Age,1,1.0,2,2
GBR,B3_long,Utilitarianism,1,1.0,1,3
GBR,B3_long,Age,1,1.0,3,3
GBR,B3_long,Gender,1,1.0,4,4
GBR,B3_long,SocialValue,1,1.0,3,3
GBR,B3_long,SocialValue,1,1.0,1,1
GBR,B3_long,Fitness,0,0.0,1,1
GBR,B3_long,Fitness,1,1.0,4,4
GBR,B3_long,SocialValue,1,1.0,4,4
GBR,B3_long,Gender,0,0.0,3,3
GBR,B3_long,Fitness,1,1.0,2,2
GBR,B3_long,Age,1,1.0,1,1
GBR,B3_long,Utilitarianism,0,0.0,2,1
GBR,B3_long,Fitness,0,0.0,5,5
GBR,B3_long,Gender,1,1.0,3,3
GBR,B3_long,Gender,0,0.0,3,3
GBR,B3_long,Gender,1,1.0,2,2
GBR,B3_long,SocialValue,0,0.0,4,4
GBR,B3_long,SocialValue,0,0.9241418242454529,2,2
GBR,B3_long,Age,0,0.0,2,2
GBR,B3_long,Gender,1,1.0,4,4
GBR,B3_long,Utilitarianism,0,0.0,3,1
GBR,B3_long,SocialValue,1,1.0,2,2
GBR,B3_long,Age,0,0.0,2,2
GBR,B3_long,SocialValue,0,0.5,3,3
GBR,B3_long,Gender,0,0.0,2,2
GBR,B3_long,Fitness,1,1.0,5,5
GBR,B3_long,Gender,0,0.0,4,4
